message_id,text_raw_masked,text_normalized,label,has_url,url_count,source,real_or_synthetic,group_id,source_record_id,source_case_type,source_theme,sender_type,delivery_channel,target_device,license,watermark_removed,nearest_existing_similarity,nearest_existing_split,nearest_existing_message_id,training_eligible,split,similarity_group_id
krmob-414398f749e0eaf0efec,"[WEB발신] 고객님, (04/20) 15:41:03 해외결제 승인금액 $849.00 USD 완료. 본인 요청 아닐 시 즉시 차단 및 신고 바랍니다. 확인: [URL]","[web발신] 고객님, (04/20) 15:41:03 해외결제 승인금액 $849.00 usd 완료. 본인 요청 아닐 시 즉시 차단 및 신고 바랍니다. 확인: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-016,inc-MOB-BEN-016:1,benign_lookalike,결제/승인 확인 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.222174,train,msg-31fb050ba5518b20d81e,1,train,krmob-inc-MOB-BEN-016
krmob-716910c03283ba513189,[채용안내] 귀하의 서류 합격을 축하드립니다. 면접 일정 확인 및 증빙서류 등록을 위해 아래 링크로 접속해 주시기 바랍니다. 기한 내 미등록 시 합격이 취소될 수 있습니다. [URL],[채용안내] 귀하의 서류 합격을 축하드립니다. 면접 일정 확인 및 증빙서류 등록을 위해 아래 링크로 접속해 주시기 바랍니다. 기한 내 미등록 시 합격이 취소될 수 있습니다. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-017,inc-MOB-BEN-017:1,benign_lookalike,채용/면접 결과 사칭,short_code,SMS,Android,CC BY-NC 4.0,1,0.17569,test,msg-6cc91b9bb363bab6f958,1,train,krmob-inc-MOB-BEN-017
krmob-2b36a4f446c948dee247,"[결제승인] 귀하의 카드가 03/04 17:15 842,000원 결제되었습니다. 본인 요청이 아닐 경우 즉시 확인 바랍니다. 확인: [URL]","[결제승인] 귀하의 카드가 03/04 17:15 842,000원 결제되었습니다. 본인 요청이 아닐 경우 즉시 확인 바랍니다. 확인: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-019,inc-MOB-BEN-019:1,benign,결제/승인 확인 사칭,verified_sender,SMS,ios_device_001,CC BY-NC 4.0,1,0.166921,train,msg-3587bb74b458fd7bd0e7,1,train,krmob-inc-MOB-BEN-019
krmob-9903c2943edd872804be,[OOO 채용] 안녕하세요. 2025년 상반기 신입사원 채용 서류전형 합격자 발표 안내입니다. 결과 확인: [URL],[ooo 채용] 안녕하세요. 2025년 상반기 신입사원 채용 서류전형 합격자 발표 안내입니다. 결과 확인: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-020,inc-MOB-BEN-020:1,benign,채용/면접 결과 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.193987,train,msg-749e69c1e94466c0289f,1,train,krmob-inc-MOB-BEN-020
krmob-6419b6697a8b73f8cf65,[금융안내] 사용 중이신 뱅킹 앱의 보안 업데이트가 필요합니다. 미업데이트 시 서비스 이용이 제한될 수 있습니다. 공식 홈페이지([URL] 확인하세요.,[금융안내] 사용 중이신 뱅킹 앱의 보안 업데이트가 필요합니다. 미업데이트 시 서비스 이용이 제한될 수 있습니다. 공식 홈페이지([url] 확인하세요.,normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-021,inc-MOB-BEN-021:1,benign,모바일 금융앱 업데이트 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.156773,train,msg-d6441157b1184c30f6c0,1,train,krmob-inc-MOB-BEN-021
krmob-0071f85924df7b2f1abf,"[금융보안센터] 고객님, 사용 중인 금융앱의 보안 패치 업데이트가 필요합니다. 미업데이트 시 금융 서비스 이용이 제한됩니다. 즉시 업데이트: [URL]","[금융보안센터] 고객님, 사용 중인 금융앱의 보안 패치 업데이트가 필요합니다. 미업데이트 시 금융 서비스 이용이 제한됩니다. 즉시 업데이트: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-022,inc-MOB-BEN-022:1,benign_lookalike,모바일 금융앱 업데이트 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.157409,validation,msg-83a3ee395282cc03ea88,1,train,krmob-inc-MOB-BEN-022
krmob-af02c18e2ed7f4c3eb75,[금융보안센터] 보안 정책 강화로 인한 필수 업데이트 안내. 기한 내 미완료 시 타행 이체 및 결제가 정지됩니다. 연결: [URL],[금융보안센터] 보안 정책 강화로 인한 필수 업데이트 안내. 기한 내 미완료 시 타행 이체 및 결제가 정지됩니다. 연결: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-022,inc-MOB-BEN-022:2,benign_lookalike,모바일 금융앱 업데이트 사칭,personal_number,SMS,iOS,CC BY-NC 4.0,1,0.127876,train,msg-03ef7ac1b104cce4d355,1,train,krmob-inc-MOB-BEN-022
krmob-60ec4324dc1c2358556b,[법원경찰청] 과태료 미납 안내: 귀하의 차량이 법규 위반으로 과태료가 고지되었습니다. 기한 내 미납 시 가산금이 부과되오니 즉시 확인 바랍니다. 상세내용 확인: [URL],[법원경찰청] 과태료 미납 안내: 귀하의 차량이 법규 위반으로 과태료가 고지되었습니다. 기한 내 미납 시 가산금이 부과되오니 즉시 확인 바랍니다. 상세내용 확인: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-023,inc-MOB-BEN-023:1,benign_lookalike,공공기관 과태료/세금 사칭,personal_number,SMS,iOS_iPhone15,CC BY-NC 4.0,1,0.17027,train,msg-5ee97c3fb19047046f2a,1,train,krmob-inc-MOB-BEN-023
krmob-8a836719d0e54bbeb22e,"고객님, 금월 데이터 사용량이 초과되어 추가 요금이 발생할 예정입니다. 요금 명세서 및 감면 혜택을 아래에서 확인하세요. [URL]","고객님, 금월 데이터 사용량이 초과되어 추가 요금이 발생할 예정입니다. 요금 명세서 및 감면 혜택을 아래에서 확인하세요. [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-024,inc-MOB-BEN-024:1,benign_lookalike,통신사 요금/데이터 사칭,personal_number,SMS,dev-ios-9921,CC BY-NC 4.0,1,0.190594,train,msg-c7044d3761dd842c9aa2,1,train,krmob-inc-MOB-BEN-024
krmob-e1996685f9cbab2f5c19,"고객님, 주소지 불명으로 배송이 중단되었습니다. 정확한 정보 확인 후 재배송 신청 바랍니다. 확인: [URL]","고객님, 주소지 불명으로 배송이 중단되었습니다. 정확한 정보 확인 후 재배송 신청 바랍니다. 확인: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-029,inc-MOB-BEN-029:1,benign,택배/배송 실패 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.212534,validation,msg-ad083b4bdbae3201c68f,1,train,krmob-inc-MOB-BEN-029
krmob-f8314cef5cb0144f252a,[국세청] 2026년 3기 부가가치세 미납 안내. 납부기한: 10/25. 상세내역 확인: [URL],[국세청] 2026년 3기 부가가치세 미납 안내. 납부기한: 10/25. 상세내역 확인: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-030,inc-MOB-BEN-030:1,benign,공공기관 과태료/세금 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.154224,train,msg-03ef7ac1b104cce4d355,1,train,krmob-inc-MOB-BEN-030
krmob-a1ed0039637f83fee3d0,[배송알림] 주소지 불분명으로 배송이 중단되었습니다. 정상적인 배송을 위해 아래 주소에서 정보를 수정해주세요. [URL],[배송알림] 주소지 불분명으로 배송이 중단되었습니다. 정상적인 배송을 위해 아래 주소에서 정보를 수정해주세요. [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-031,inc-MOB-BEN-031:1,benign,택배/배송 실패 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.241222,validation,msg-ad083b4bdbae3201c68f,1,train,krmob-inc-MOB-BEN-031
krmob-1294583e17c35ff04366,[사칭안내] 2026 하반기 신입사원 채용 최종 합격을 축하드립니다. 입사 서류 제출 기한이 오늘 18시까지입니다. 미제출 시 합격이 취소될 수 있으니 아래 링크에서 확인 바랍니다. [URL],[사칭안내] 2026 하반기 신입사원 채용 최종 합격을 축하드립니다. 입사 서류 제출 기한이 오늘 18시까지입니다. 미제출 시 합격이 취소될 수 있으니 아래 링크에서 확인 바랍니다. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-032,inc-MOB-BEN-032:1,benign_lookalike,채용/면접 결과 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.170172,test,msg-6cc91b9bb363bab6f958,1,train,krmob-inc-MOB-BEN-032
krmob-e967d0cfba8f19aa852a,[정부민원포털] 법규위반 과태료 미납 안내. 납부기한 경과 시 가산금 부과 및 압류 조치 예정. 확인: [URL],[정부민원포털] 법규위반 과태료 미납 안내. 납부기한 경과 시 가산금 부과 및 압류 조치 예정. 확인: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-033,inc-MOB-BEN-033:1,benign_lookalike,공공기관 과태료/세금 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.171002,train,msg-03ef7ac1b104cce4d355,1,train,krmob-inc-MOB-BEN-033
krmob-397845d491eb68c5abf8,[해외결제] 10/21 15:48 USD 849.00 승인완료. 본인 아닐 시 즉시 확인 및 취소 신청: [URL],[해외결제] 10/21 15:48 usd 849.00 승인완료. 본인 아닐 시 즉시 확인 및 취소 신청: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-034,inc-MOB-BEN-034:1,benign_lookalike,결제/승인 확인 사칭,personal_number,SMS,dev-and-4421,CC BY-NC 4.0,1,0.192561,train,msg-730ac32bb52515f362b7,1,train,krmob-inc-MOB-BEN-034
krmob-340a733e12248b27389c,"[결제알림] 고객님 성함으로 942,000원이 승인 예정입니다. 미확인 시 자동 결제됩니다. 상세내용 확인: [URL]","[결제알림] 고객님 성함으로 942,000원이 승인 예정입니다. 미확인 시 자동 결제됩니다. 상세내용 확인: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-034,inc-MOB-BEN-034:2,benign_lookalike,결제/승인 확인 사칭,personal_number,SMS,dev-ios-9912,CC BY-NC 4.0,1,0.183693,validation,msg-d12fbc1beed86bc99252,1,train,krmob-inc-MOB-BEN-034
krmob-256d3a331d08fa55b9d2,"[알림] 02/16 12:34 카드 승인 48,200원(일시불). 본인 요청이 아닐 경우 고객센터(1588-xxxx)로 문의하시거나 당사 홈페이지에서 확인 바랍니다.","[알림] 02/16 12:34 카드 승인 48,200원(일시불). 본인 요청이 아닐 경우 고객센터(1588-xxxx)로 문의하시거나 당사 홈페이지에서 확인 바랍니다.",normal,0,0,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-039,inc-MOB-BEN-039:1,benign,결제/승인 확인 사칭 (정상 건),verified_sender,SMS,iOS_iPhone15Pro,CC BY-NC 4.0,1,0.201144,test,msg-52f57e84638c37bc1c85,1,train,krmob-inc-MOB-BEN-039
krmob-ec35e45d6713682891e1,[보안통지] 고객님의 계정에 새로운 기기에서 로그인이 감지되었습니다. 본인이 아닐 경우 즉시 확인하십시오: [URL],[보안통지] 고객님의 계정에 새로운 기기에서 로그인이 감지되었습니다. 본인이 아닐 경우 즉시 확인하십시오: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-040,inc-MOB-BEN-040:1,benign,계정 보안 경고 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.178025,train,msg-7a07c4930e4998a56751,1,train,krmob-inc-MOB-BEN-040
krmob-f6590965c7bb82ae5f9c,"[정부24] 고객님, 자동차세 미납분(32,440원)이 발생하였습니다. 기한 내 납부하지 않을 경우 가산금이 부과됩니다. 상세 내역 확인: [URL]","[정부24] 고객님, 자동차세 미납분(32,440원)이 발생하였습니다. 기한 내 납부하지 않을 경우 가산금이 부과됩니다. 상세 내역 확인: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-041,inc-MOB-BEN-041:1,benign,공공기관 과태료/세금 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.129649,validation,msg-151d06c5cbf9c236d2ae,1,train,krmob-inc-MOB-BEN-041
krmob-9bc9aa8049620245e03c,[법규위반알림] 귀하의 차량이 교통법규 위반(신호위반)으로 과태료가 부과되었습니다. 상세내용 확인 및 납부: [URL],[법규위반알림] 귀하의 차량이 교통법규 위반(신호위반)으로 과태료가 부과되었습니다. 상세내용 확인 및 납부: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-042,inc-MOB-BEN-042:1,benign_lookalike,공공기관 과태료/세금 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.261117,train,msg-5ee97c3fb19047046f2a,1,train,krmob-inc-MOB-BEN-042
krmob-663e97169e47a7182c09,"고객님, 공동인증서 만료가 오늘 24시 임박하였습니다. 갱신하지 않을 경우 내일부터 모든 금융거래가 중단됩니다. 즉시 갱신: [URL]","고객님, 공동인증서 만료가 오늘 24시 임박하였습니다. 갱신하지 않을 경우 내일부터 모든 금융거래가 중단됩니다. 즉시 갱신: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-043,inc-MOB-BEN-043:1,benign_lookalike,인증서 갱신/만료 사칭,personal_number,SMS,dev-ios-9902,CC BY-NC 4.0,1,0.131626,train,msg-76a5446ecd681d1d75f0,1,train,krmob-inc-MOB-BEN-043
krmob-cadf632457c6093ac92b,"[결제알림] 02/16 18:20 985,000원 승인완료. 본인 아닐 시 즉시 신고 및 자동 승인 차단: [URL]","[결제알림] 02/16 18:20 985,000원 승인완료. 본인 아닐 시 즉시 신고 및 자동 승인 차단: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-044,inc-MOB-BEN-044:1,benign_lookalike,결제/승인 확인 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.317098,train,msg-29618cee18396e8a8e81,1,train,krmob-inc-MOB-BEN-044
krmob-28955cbc60083b9e1f17,[XX커리어] 하반기 정기 채용 1차 서류 전형 결과 안내. 귀하의 합격을 축하드립니다. 세부 안내 및 면접 일정 확인: [URL],[xx커리어] 하반기 정기 채용 1차 서류 전형 결과 안내. 귀하의 합격을 축하드립니다. 세부 안내 및 면접 일정 확인: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-047,inc-MOB-BEN-047:1,benign,채용/면접 결과 사칭,verified_sender,SMS,dv-AND-6523,CC BY-NC 4.0,1,0.210608,test,msg-6cc91b9bb363bab6f958,1,train,krmob-inc-MOB-BEN-047
krmob-57eaaca03534dcd75a23,"고객님, 10월분 데이터 이용량이 초과되어 추가 요금이 발생할 예정입니다. 상세 내역 및 요금제 변경은 공식 홈페이지([URL] 확인해 주세요.","고객님, 10월분 데이터 이용량이 초과되어 추가 요금이 발생할 예정입니다. 상세 내역 및 요금제 변경은 공식 홈페이지([url] 확인해 주세요.",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-048,inc-MOB-BEN-048:1,benign,통신사 요금/데이터 사칭,verified_sender,SMS,dev-IOS-9921,CC BY-NC 4.0,1,0.144036,train,msg-954b014d938b28aa0ec3,1,train,krmob-inc-MOB-BEN-048
krmob-1a047c4056c39837d6dd,[정부24] 고객님의 공동인증서가 3일 뒤 만료 예정입니다. 갱신을 원하시면 공식 홈페이지([URL] 방문하여 절차를 진행해 주세요.,[정부24] 고객님의 공동인증서가 3일 뒤 만료 예정입니다. 갱신을 원하시면 공식 홈페이지([url] 방문하여 절차를 진행해 주세요.,normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-049,inc-MOB-BEN-049:1,benign,인증서 갱신/만료 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.145434,train,msg-bcba3dca33f9f75337a0,1,train,krmob-inc-MOB-BEN-049
krmob-0f413125e152bc98967f,[기획재정부] 2026년 하반기 미수령 정부지원환급금 신청안내. 금일 만료 예정입니다. 즉시 확인 바랍니다. [URL],[기획재정부] 2026년 하반기 미수령 정부지원환급금 신청안내. 금일 만료 예정입니다. 즉시 확인 바랍니다. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-051,inc-MOB-BEN-051:1,benign_lookalike,정부지원금/환급금 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.196057,train,msg-399b28d09b56f8e85326,1,train,krmob-inc-MOB-BEN-051
krmob-3c06822585b04ed7adc3,[기획재정부] 고객님 앞으로 배정된 미수령 지원금이 있습니다. 미신청시 국고 환수되오니 신청바랍니다. [URL],[기획재정부] 고객님 앞으로 배정된 미수령 지원금이 있습니다. 미신청시 국고 환수되오니 신청바랍니다. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-051,inc-MOB-BEN-051:2,benign_lookalike,정부지원금/환급금 사칭,personal_number,SMS,iOS,CC BY-NC 4.0,1,0.178863,train,msg-fedc0d6014b5f24a5686,1,train,krmob-inc-MOB-BEN-051
krmob-166a7e831b4ff2357bef,"엄마, 나 핸드폰 액정 깨져서 수리 맡겼어. 지금 임시폰이라 연락이 안 돼. 급하게 결제할 게 있는데 도와줄 수 있어? 아래 링크로 확인 좀 해줘. [URL]","엄마, 나 핸드폰 액정 깨져서 수리 맡겼어. 지금 임시폰이라 연락이 안 돼. 급하게 결제할 게 있는데 도와줄 수 있어? 아래 링크로 확인 좀 해줘. [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-052,inc-MOB-BEN-052:1,benign_lookalike,가족/지인 사칭 긴급 송금,personal_number,SMS,Android,CC BY-NC 4.0,1,0.225836,train,msg-bb5a4640eee306e11287,1,train,krmob-inc-MOB-BEN-052
krmob-67d01416857925fcdc96,[정부지원센터] 2025년 상반기 근로장려금 미수령액 발생. 금일 24시 소액 소멸 예정이오니 즉시 신청바랍니다. 확인: [URL],[정부지원센터] 2025년 상반기 근로장려금 미수령액 발생. 금일 24시 소액 소멸 예정이오니 즉시 신청바랍니다. 확인: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-056,inc-MOB-BEN-056:1,benign,정부지원금/환급금 사칭,verified_sender,SMS,dv-AND-9284,CC BY-NC 4.0,1,0.195046,train,msg-91d2437e3751009677ab,1,train,krmob-inc-MOB-BEN-056
krmob-314d2b08cc86e212d6ea,"아빠, 나 폰 액정 깨져서 수리 맡겼어. 지금 급하게 이체해야 할 게 있는데 내 폰이 안 돼서 그래. 확인하면 여기로 답장 좀 줘: [URL]","아빠, 나 폰 액정 깨져서 수리 맡겼어. 지금 급하게 이체해야 할 게 있는데 내 폰이 안 돼서 그래. 확인하면 여기로 답장 좀 줘: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-057,inc-MOB-BEN-057:1,benign,가족/지인 사칭 긴급 송금,verified_sender,SMS,iOS_iPhone_15_Pro,CC BY-NC 4.0,1,0.239959,train,msg-b42fe9f654595657fa35,1,train,krmob-inc-MOB-BEN-057
krmob-76b61c29eeb94dc10aab,"고객님, 배송지 주소 불일치로 인해 물품이 반송될 예정입니다. 오늘 중 주소를 확인해주시기 바랍니다. 확인하기: [URL]","고객님, 배송지 주소 불일치로 인해 물품이 반송될 예정입니다. 오늘 중 주소를 확인해주시기 바랍니다. 확인하기: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-058,inc-MOB-BEN-058:1,benign,택배/배송 실패 사칭,verified_sender,SMS,dev-and-9921,CC BY-NC 4.0,1,0.257589,test,msg-d0ade4b234b0c8a2a8b4,1,train,krmob-inc-MOB-BEN-058
